Sequence#	Timestamp	Hostname	Version	Logger	Severity	Message
1	20210824T144850.667-0400	127.0.0.1	4.12.2	Global	INFO	Configuration: {"context":"desktop","version":"4.12.2","migrationVersion":"1.0.0","host":"127.0.0.1","port":"9074","batchSize":200,"debug":false,"timeout":600000,"open":{"noData":true,"port":"4848","isSecure":false,"identity":"migration-service"},"ssl":0,"logPath":"C:\\Users\\leninne.pirovano\\Documents\\Qlik\\Sense\\Log"}
2	20210824T144850.672-0400	127.0.0.1	4.12.2	Global	INFO	Refreshing patches and hash...
3	20210824T144850.868-0400	127.0.0.1	4.12.2	Global	INFO	Content hash is: 504d4e39a7133ee172fbe29aa58348b1e4054149
4	20210824T144851.024-0400	127.0.0.1	4.12.2	Global	INFO	Listening on http://127.0.0.1:9074
5	20210824T144851.611-0400	127.0.0.1	4.12.2	Global	INFO	Engine configuration updated to: {"noData":true,"port":9076,"isSecure":false,"identity":"migration-service","host":"127.0.0.1"}
6	20210824T160817.143-0400	127.0.0.1	4.12.2	Global	INFO	Processing queue, ID: C:\Users\leninne.pirovano\OneDrive - SCHEFFER\Documentos\Qlik\Sense\Apps\Advanced-KPI examples v 0.1.8.qvf
7	20210824T160817.759-0400	127.0.0.1	4.12.2	Global	INFO	Opened App: C:\Users\leninne.pirovano\OneDrive - SCHEFFER\Documentos\Qlik\Sense\Apps\Advanced-KPI examples v 0.1.8.qvf
8	20210824T160817.939-0400	127.0.0.1	4.12.2	C:\Users\leninne.pirovano\OneDrive - SCHEFFER\Documentos\Qlik\Sense\Apps\Advanced-KPI examples v 0.1.8.qvf	INFO	2 patches applied on a total of 2 objects in 0.142 seconds. 61 objects were unmodified.
9	20210824T160817.939-0400	127.0.0.1	4.12.2	C:\Users\leninne.pirovano\OneDrive - SCHEFFER\Documentos\Qlik\Sense\Apps\Advanced-KPI examples v 0.1.8.qvf	INFO	Migration completed
10	20210824T160817.940-0400	127.0.0.1	4.12.2	Global	INFO	No more apps to process
