Logger	Severity	Date	MicroSeconds	AppId	UserId	Message
Engine	INFO	2021-06-29T14:22:39.282-04:00	347081711522.9	C:\Users\leninne.pirovano\OneDrive - SCHEFFER\Documentos\Qlik\Sense\Apps\Business performance	-	request OpenDoc
Engine	INFO	2021-06-29T14:22:39.284-04:00	347081712915.7	C:\Users\leninne.pirovano\OneDrive - SCHEFFER\Documentos\Qlik\Sense\Apps\Business performance	-	Response {"jsonrpc":"2.0","method":"OnConnected","params":{"qSessionState":"SESSION_ATTACHED"}} Engine method 'OnConnected', response time: -1
Engine	INFO	2021-06-29T14:22:39.288-04:00	347081717128.5	C:\Users\leninne.pirovano\OneDrive - SCHEFFER\Documentos\Qlik\Sense\Apps\Business performance	-	Response {"jsonrpc":"2.0","id":1,"result":{"qReturn":{"qType":"Doc","qHandle":1,"qGenericId":"C:\\Users\\leninne.pirovano\\OneDrive - SCHEFFER\\Documentos\\Qlik\\Sense\\Apps\\Business performance.qvf"}}} Engine method 'OpenDoc', response time: 7
Engine	INFO	2021-06-29T14:33:37.153-04:00	347739550013.4	ScratchPadApp_4d06e1e6-e7b4-912e-fd10-c8ad1c43	-	request CreateSessionAppFromApp
Engine	INFO	2021-06-29T14:33:37.157-04:00	347739554494.8	ScratchPadApp_4d06e1e6-e7b4-912e-fd10-c8ad1c43	-	Response {"jsonrpc":"2.0","method":"OnConnected","params":{"qSessionState":"SESSION_CREATED"}} Engine method 'OnConnected', response time: -1
Engine	INFO	2021-06-29T14:33:37.228-04:00	347739624740.6	ScratchPadApp_4d06e1e6-e7b4-912e-fd10-c8ad1c43	-	Response {"jsonrpc":"2.0","id":7,"result":{"qReturn":{"qType":"Doc","qHandle":1,"qGenericId":"SessionApp_29e2661c-4b46-48ab-89fe-4e4b183dbc6f"},"qSessionAppId":"SessionApp_29e2661c-4b46-48ab-89fe-4e4b183dbc6f"},"change":[1]} Engine method 'CreateSessionAppFromApp', response time: 75
Engine	INFO	2021-06-29T14:33:37.259-04:00	347739656368.3	ScratchPadApp_4d06e1e6-e7b4-912e-fd10-c8ad1c43	-	request DoReload
Engine	INFO	2021-06-29T14:33:37.508-04:00	347739905176.3	ScratchPadApp_4d06e1e6-e7b4-912e-fd10-c8ad1c43	-	Response {"jsonrpc":"2.0","id":14,"result":{"qReturn":true},"change":[1]} Engine method 'DoReload', response time: 249
Engine	INFO	2021-06-29T15:09:11.870-04:00	349874256156.2	ScratchPadApp_f5402d64-60ad-268f-a532-4fc9d7dc	-	request CreateSessionAppFromApp
Engine	INFO	2021-06-29T15:09:11.871-04:00	349874256561.9	ScratchPadApp_f5402d64-60ad-268f-a532-4fc9d7dc	-	Response {"jsonrpc":"2.0","method":"OnConnected","params":{"qSessionState":"SESSION_CREATED"}} Engine method 'OnConnected', response time: -1
Engine	INFO	2021-06-29T15:09:11.930-04:00	349874315714.7	ScratchPadApp_f5402d64-60ad-268f-a532-4fc9d7dc	-	Response {"jsonrpc":"2.0","id":178,"result":{"qReturn":{"qType":"Doc","qHandle":1,"qGenericId":"SessionApp_c4280f8e-5153-4d30-bee3-140393652f1d"},"qSessionAppId":"SessionApp_c4280f8e-5153-4d30-bee3-140393652f1d"},"change":[1]} Engine method 'CreateSessionAppFromApp', response time: 60
Engine	INFO	2021-06-29T15:09:11.961-04:00	349874347324.4	ScratchPadApp_f5402d64-60ad-268f-a532-4fc9d7dc	-	request DoReload
Engine	INFO	2021-06-29T15:09:12.169-04:00	349874555393.1	ScratchPadApp_f5402d64-60ad-268f-a532-4fc9d7dc	-	Response {"jsonrpc":"2.0","id":182,"result":{"qReturn":true},"change":[1]} Engine method 'DoReload', response time: 208
Engine	INFO	2021-06-29T15:14:53.654-04:00	350216038717.4	ScratchPadApp_702934dc-be05-2fc3-a178-26f7ea80	-	request CreateSessionAppFromApp
Engine	INFO	2021-06-29T15:14:53.655-04:00	350216039040.5	ScratchPadApp_702934dc-be05-2fc3-a178-26f7ea80	-	Response {"jsonrpc":"2.0","method":"OnConnected","params":{"qSessionState":"SESSION_CREATED"}} Engine method 'OnConnected', response time: -1
Engine	INFO	2021-06-29T15:14:53.721-04:00	350216105788.3	ScratchPadApp_702934dc-be05-2fc3-a178-26f7ea80	-	Response {"jsonrpc":"2.0","id":242,"result":{"qReturn":{"qType":"Doc","qHandle":1,"qGenericId":"SessionApp_9f073d02-d1bc-4924-823d-ffdcc640a6dc"},"qSessionAppId":"SessionApp_9f073d02-d1bc-4924-823d-ffdcc640a6dc"},"change":[1]} Engine method 'CreateSessionAppFromApp', response time: 67
Engine	INFO	2021-06-29T15:14:53.749-04:00	350216133243.2	ScratchPadApp_702934dc-be05-2fc3-a178-26f7ea80	-	request DoReload
Engine	INFO	2021-06-29T15:14:53.956-04:00	350216339952.1	ScratchPadApp_702934dc-be05-2fc3-a178-26f7ea80	-	Response {"jsonrpc":"2.0","id":246,"result":{"qReturn":true},"change":[1]} Engine method 'DoReload', response time: 206
Engine	INFO	2021-06-29T15:21:08.985-04:00	350591362036.1	ScratchPadApp_c24d7ffa-4b1e-6c05-6d42-6ee6041a	-	request CreateSessionAppFromApp
