Logger	Severity	Date	MicroSeconds	ipAddress	AppId	UserId	Message
Request	INFO	2021-07-08T13:00:26.096-04:00	145932032.1	127.0.0.1	-	-	request GET /v1/openapi?xrfkey=GVRxfWegkJwz8so9 1625763626094
Request	INFO	2021-07-08T13:00:26.138-04:00	145974462.6	127.0.0.1	-	-	response GET /v1/openapi?xrfkey=GVRxfWegkJwz8so9 1625763626094 200
Request	INFO	2021-07-08T13:00:26.788-04:00	146623855.8	127.0.0.1	C%3A%5CUsers%5Cleninne.pirovano%5COneDrive%20-%20SCHEFFER%5CDocumentos%5CQlik%5CSense%5CApps%5CExtract-COMEX	-	request GET /v1/apps/C%3A%5CUsers%5Cleninne.pirovano%5COneDrive%20-%20SCHEFFER%5CDocumentos%5CQlik%5CSense%5CApps%5CExtract-COMEX.qvf/model/current?xrfkey=dRhiQd49Prjun4AY 1625763626787
Request	INFO	2021-07-08T13:00:26.813-04:00	146649540.2	127.0.0.1	C:\Users\leninne.pirovano\OneDrive - SCHEFFER\Documentos\Qlik\Sense\Apps\Extract-COMEX	-	response GET /v1/apps/C%3A%5CUsers%5Cleninne.pirovano%5COneDrive%20-%20SCHEFFER%5CDocumentos%5CQlik%5CSense%5CApps%5CExtract-COMEX.qvf/model/current?xrfkey=dRhiQd49Prjun4AY 1625763626787 200
Request	INFO	2021-07-08T13:00:35.424-04:00	155260231.9	127.0.0.1	-	-	request GET /v1/openapi?xrfkey=T2Z3mdaqrLOG1QHM 1625763635423
Request	INFO	2021-07-08T13:00:35.429-04:00	155265224.7	127.0.0.1	-	-	response GET /v1/openapi?xrfkey=T2Z3mdaqrLOG1QHM 1625763635423 200
Request	INFO	2021-07-08T13:00:35.965-04:00	155801573	127.0.0.1	C%3A%5CUsers%5Cleninne.pirovano%5COneDrive%20-%20SCHEFFER%5CDocumentos%5CQlik%5CSense%5CApps%5Cteste	-	request GET /v1/apps/C%3A%5CUsers%5Cleninne.pirovano%5COneDrive%20-%20SCHEFFER%5CDocumentos%5CQlik%5CSense%5CApps%5Cteste.qvf/model/current?xrfkey=n7MIq0eCUtbPzFKF 1625763635965
Request	INFO	2021-07-08T13:00:35.988-04:00	155824105.9	127.0.0.1	C:\Users\leninne.pirovano\OneDrive - SCHEFFER\Documentos\Qlik\Sense\Apps\teste	-	response GET /v1/apps/C%3A%5CUsers%5Cleninne.pirovano%5COneDrive%20-%20SCHEFFER%5CDocumentos%5CQlik%5CSense%5CApps%5Cteste.qvf/model/current?xrfkey=n7MIq0eCUtbPzFKF 1625763635965 200
Request	INFO	2021-07-08T13:07:14.913-04:00	554984835.3	127.0.0.1	-	-	request GET /v1/openapi?xrfkey=EGv35T9JKmQr3VZC 1625764034913
Request	INFO	2021-07-08T13:07:14.915-04:00	554986542.3	127.0.0.1	-	-	response GET /v1/openapi?xrfkey=EGv35T9JKmQr3VZC 1625764034913 200
